lon,lat,limit
35.11384609,126.8488011,60
35.12216786,126.9200379,50
35.13065865,126.8943572,30
35.13365155,126.9183024,50
35.1864599,126.8671975,60
35.17069728,126.9227008,60
35.20702034,126.8339065,70
35.17580503,126.8117849,30
35.1662775,126.8090109,50
35.20207931,126.8862992,50
35.05207678,127.282141,100
34.9912295,127.550371,100
35.26308542,127.092448,100
34.7741521,126.4582695,60
35.9543278,128.6802337,60
35.83083454,128.5643073,60
35.838896,128.5638238,50
35.895118,128.537225,50
35.85828879,128.6260662,60
35.87742987,128.6273253,50
35.89489135,128.6407023,50
35.8400832,128.6248125,60
35.91992557,128.6335326,60
35.86099474,128.5696709,60
35.86488322,128.5714068,50
35.87594592,128.5714068,50
35.89539326,128.5204747,50
35.8514369,128.6129763,40
35.85823431,128.6786155,60
35.82547065,128.5282319,50
35.80763373,128.5488919,50
35.8502544,128.5159816,60
35.72947221,128.4532877,50
35.6589716,128.41711,60
35.6559467,128.4178074,60
35.72751536,128.4386589,50
35.7580485,129.0302294,60
35.85214865,129.2654371,60
36.04319288,129.358163,50
35.82375042,128.7170209,60
35.9246509,128.8434878,80
35.90286465,128.8304136,60
36.57849959,128.6702906,80
36.15368767,128.1172728,80
35.91479609,128.4907476,80
35.66665815,128.6973708,60
36.60988981,128.2984353,80
35.93439396,128.261383,50
35.8501376,129.2031569,60
36.077542,129.3794248,50
35.99286848,129.4198742,60
36.22532279,128.3099347,60
36.07168264,128.349806,50
36.15649397,128.2249518,60
35.93657697,128.9856292,80
36.05411623,128.3171529,70
36.32246939,128.6412735,80
35.14249065,129.0671597,50
35.16314616,128.9809858,50
35.23435138,129.1563516,50
35.18255227,128.9889488,50
35.16940717,128.9770927,50
35.0957565,128.961891,50
35.1889256,129.0635262,50
35.09540802,128.8832153,70
35.189513,129.062617,70
35.089056,128.877419,60
35.35539888,129.1481861,70
35.17088639,129.1219346,50
37.3978375,128.4076846,60
38.1978881,128.3432043,80
38.3299753,128.5242245,60
37.92101625,127.7201045,60
37.7490007,128.8967404,50
37.7399569,128.9307401,80
37.3476352,127.9341278,60
38.2035664,128.5272758,60
37.4426429,129.1217201,60
37.55529542,126.8552118,50
37.51298,126.9266893,50
37.53416724,126.9064041,50
37.572151,127.0387462,70
37.54907936,127.0594538,80
37.57230614,127.0349099,70
37.52614008,127.1243007,50
36.35734756,127.3045785,50
35.23459145,129.0111527,50
35.63487449,127.8143468,80
35.5639962,127.7829054,80
35.26223788,127.828709,80
35.08720711,128.9934048,50
37.50786022,127.011582,50
37.47511676,126.9910912,50
38.1731627,127.3239359,70
37.2641535,128.6660861,80
37.2645772,128.666267,80
37.2202778,128.6438889,80
37.2202778,128.6438889,80
37.26999674,128.6808348,80
37.26999682,128.6808291,80
37.2613233,128.7350209,80
37.2613302,128.7350478,80
37.9684428,127.780581,60
34.80295914,127.9658964,60
36.47806192,128.6572083,60
35.20015893,129.1163413,60
37.4510191,126.7076509,50
37.073545,127.9327165,80
35.19483953,128.570108,60
35.09986328,128.4162119,70
35.23185637,128.8618172,60
35.11351083,128.4814785,60
35.18964189,128.9886081,80
35.14853806,126.9286789,50
35.17143511,126.8703221,60
35.15158019,126.8696075,60
35.12437837,126.9078251,50
35.2098927,126.8822055,30
35.16736303,126.8972308,50
35.14808188,126.7786093,60
35.14808188,126.7786093,60
35.0979788,126.7749899,70
35.18607793,126.8702273,60
35.12772956,126.7917402,30
35.17530203,126.847505,60
36.31655263,127.4070872,30
36.33531145,127.4389887,50
36.33637384,127.446966,50
36.3192676,127.3777755,50
36.44119479,127.3989946,50
36.37891409,127.4262042,50
36.3604622,127.3507044,50
36.39609063,127.3121918,60
36.33864189,127.4898101,50
36.32843849,127.4672434,50
36.3601944,127.3507016,60
36.41301885,127.3000653,80
35.72309623,129.3217071,60
